"['Qs']:[]:[],[]","[0.0, 0.0, 1.0, 0.0]"
"['Ks']:[['Kh']]:[2, 2],[0]","[0.0, 0.286, 0.714]"
"['As']:[['Kh']]:[2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Ks']:[['Kh']]:[2, 2],[0, 1, 2]","[0.5, 0.5]"
"['Ks']:[['Kh']]:[2, 2],[1]","[0.0, 0.4, 0.6]"
"['Ks']:[['Kh']]:[2, 2],[2]","[0.0, 1.0]"
"['As']:[['Kh']]:[3, 3],[]","[1.0, 0.0]"
"['Ks']:[['Kh']]:[3, 3],[0]","[0.5, 0.5]"
"['As']:[['Qh']]:[2, 2],[]","[0.0, 0.0, 1.0]"
"['Kh']:[['Qh']]:[2, 2],[2]","[1.0, 0.0]"
"['Kh']:[['Qh']]:[2, 2],[1]","[0.0, 0.344, 0.656]"
"['As']:[['Qh']]:[2, 2],[1, 2]","[0.0, 1.0]"
"['As']:[]:[2, 3],[]","[0.0, 1.0, 0.0]"
"['As']:[]:[2, 4],[]","[0.0, 1.0]"
"['Ah']:[['As']]:[0, 3, 3],[0, 1]","[1.0, 0.0]"
"['Ah']:[['As']]:[2, 2],[]","[0.0, 0.0, 1.0]"
"['Ah']:[['Qh']]:[2, 2],[]","[0.572, 0.0, 0.428]"
"['Qs']:[['Qh']]:[2, 2],[0]","[0.0, 0.0, 1.0]"
"['Ah']:[['Qh']]:[2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Ah']:[['Qh']]:[2, 2],[0, 2]","[0.0, 1.0]"
"['Qs']:[['Qh']]:[2, 2],[1]","[0.0, 0.275, 0.725]"
"['Ah']:[['Qh']]:[2, 2],[1, 2]","[0.0, 1.0]"
"['Qs']:[['Qh']]:[2, 3, 1],[1]","[0.0, 1.0]"
"['Ah']:[]:[2, 4],[]","[0.0, 1.0]"
"['Kh']:[['Ks']]:[3, 3],[0]","[0.5, 0.5]"
"['Kh']:[['Ks']]:[3, 3],[1]","[0.0, 1.0]"
"['Qh']:[['As']]:[3, 3],[]","[0.0, 1.0]"
"['Kh']:[['As']]:[3, 3],[0]","[0.0, 1.0]"
"['Qh']:[['Kh']]:[0, 0],[]","[0.0, 0.0, 1.0, 0.0]"
"['As']:[['Kh']]:[0, 0],[3]","[0.0, 0.333, 0.0, 0.333, 0.333]"
"['Qh']:[['Kh']]:[0, 0],[3, 4]","[0.0, 1.0]"
"['As']:[['Kh']]:[0, 2, 2],[2]","[0.0, 1.0]"
"['Qh']:[['Kh']]:[0, 3, 3],[]","[0.0, 1.0]"
"['As']:[['Kh']]:[0, 3, 3],[0]","[0.0, 1.0]"
"['Qh']:[['Kh']]:[0, 3, 3],[0, 1]","[0.0, 1.0]"
"['Qs']:[]:[0, 4],[]","[0.0, 1.0]"
"['Qs']:[]:[2, 3],[]","[0.0, 0.0, 1.0]"
"['Qs']:[['Ks']]:[2, 3, 1],[]","[0.0, 1.0]"
"['As']:[['Ks']]:[2, 3, 1],[0]","[0.5, 0.5]"
"['As']:[['Ks']]:[2, 3, 1],[1]","[0.0, 1.0]"
"['Ks']:[['Ah']]:[0, 0],[]","[0.494, 0.0, 0.506, 0.0]"
"['As']:[['Ah']]:[0, 0],[2]","[0.0, 0.111, 0.111, 0.111, 0.667]"
"['Ks']:[['Ah']]:[0, 0],[2, 3]","[0.562, 0.0, 0.438]"
"['Ks']:[['Ah']]:[0, 0],[2, 4]","[1.0, 0.0]"
"['Ks']:[['Ah']]:[0, 2, 2],[]","[0.0, 0.0, 1.0]"
"['As']:[['Ah']]:[0, 2, 2],[0]","[0.0, 0.0, 1.0]"
"['Ks']:[['Ah']]:[0, 2, 2],[0, 1]","[0.333, 0.333, 0.333]"
"['Ks']:[['Ah']]:[0, 2, 2],[0, 2]","[1.0, 0.0]"
"['Ks']:[['Ah']]:[0, 3, 3],[]","[0.0, 1.0]"
"['As']:[['Ah']]:[0, 3, 3],[0]","[0.5, 0.5]"
"['Ks']:[['Ah']]:[0, 3, 3],[0, 1]","[0.5, 0.5]"
"['Ah']:[['Qs']]:[0, 3, 3],[0]","[0.5, 0.5]"
"['Ah']:[['Qs']]:[0, 3, 3],[1]","[0.5, 0.5]"
"['Kh']:[['Qs']]:[2, 2],[]","[0.0, 0.0, 1.0]"
"['Ah']:[['Qs']]:[2, 2],[0]","[0.5, 0.0, 0.5]"
"['Ah']:[['Qs']]:[2, 2],[1]","[0.0, 0.5, 0.5]"
"['Ah']:[['Qs']]:[2, 2],[2]","[0.0, 1.0]"
"['Qh']:[['As']]:[0, 0],[]","[0.0, 0.0, 0.0, 1.0]"
"['Qh']:[['As']]:[0, 0],[2, 3]","[0.0, 0.0, 1.0]"
"['Qh']:[['As']]:[0, 0],[2, 4]","[0.0, 1.0]"
"['Qh']:[['As']]:[0, 2, 2],[]","[0.0, 0.0, 1.0]"
"['Qh']:[['As']]:[0, 2, 2],[1, 2]","[0.0, 1.0]"
"['Ks']:[['As']]:[0, 3, 3],[1]","[0.0, 1.0]"
"['Ks']:[['Qs']]:[0, 3, 3],[]","[0.167, 0.833]"
"['Ks']:[['Qs']]:[0, 3, 3],[0, 1]","[0.0, 1.0]"
"['As']:[['Qh']]:[0, 2, 2],[]","[0.0, 0.0, 1.0]"
"['Qs']:[['Qh']]:[0, 2, 2],[0]","[0.333, 0.333, 0.333]"
"['Qs']:[['Qh']]:[0, 2, 2],[1]","[0.333, 0.333, 0.333]"
"['Qs']:[['Qh']]:[0, 2, 2],[2]","[0.5, 0.5]"
"['As']:[['Qh']]:[0, 2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Qs']:[['Qh']]:[0, 2, 2],[0, 1, 2]","[0.5, 0.5]"
"['As']:[['Qh']]:[3, 3],[]","[0.0, 1.0]"
"['Qs']:[['Qh']]:[3, 3],[0]","[0.5, 0.5]"
"['Qs']:[['Qh']]:[3, 3],[1]","[0.0, 1.0]"
"['Ks']:[['Qs']]:[2, 2],[]","[0.0, 0.0, 1.0]"
"['Ks']:[['Qs']]:[2, 2],[1, 2]","[0.0, 1.0]"
"['Ah']:[['Qs']]:[3, 3],[0]","[0.0, 1.0]"
"['Ks']:[['Qs']]:[3, 3],[0, 1]","[0.0, 1.0]"
"['Ah']:[['Qs']]:[3, 3],[1]","[1.0, 0.0]"
"['As']:[['Qs']]:[0, 3, 3],[]","[0.0, 1.0]"
"['As']:[['Qs']]:[0, 3, 3],[0, 1]","[0.0, 1.0]"
"['As']:[['Qs']]:[3, 3],[]","[0.0, 1.0]"
"['Qh']:[['Qs']]:[3, 3],[0]","[0.5, 0.5]"
"['As']:[['Qs']]:[3, 3],[0, 1]","[0.0, 1.0]"
"['As']:[['Qs']]:[2, 2],[2]","[0.0, 1.0]"
"['Ks']:[['Qs']]:[2, 3, 1],[]","[0.0, 1.0]"
"['Ks']:[['Qs']]:[2, 3, 1],[0, 1]","[0.0, 1.0]"
"['Ks']:[]:[2, 4],[]","[0.0, 1.0]"
"['Kh']:[['As']]:[0, 2, 2],[0]","[0.333, 0.333, 0.333]"
"['Kh']:[['As']]:[0, 2, 2],[1]","[0.333, 0.333, 0.333]"
"['Kh']:[['As']]:[0, 2, 2],[2]","[0.5, 0.5]"
"['Qh']:[['As']]:[0, 2, 3, 1],[]","[0.0, 1.0]"
"['Kh']:[['As']]:[0, 2, 3, 1],[0]","[0.5, 0.5]"
"['Qh']:[['As']]:[0, 2, 3, 1],[0, 1]","[0.0, 1.0]"
"['Kh']:[['As']]:[0, 2, 3, 1],[1]","[0.5, 0.5]"
"['Qh']:[['As']]:[3, 3],[0, 1]","[0.0, 1.0]"
"['Ah']:[['Qs']]:[2, 2],[]","[0.572, 0.0, 0.428]"
"['Ks']:[['Qs']]:[2, 2],[0]","[1.0, 0.0, 0.0]"
"['Ah']:[['Qs']]:[2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Ks']:[['Qs']]:[2, 2],[0, 1, 2]","[1.0, 0.0]"
"['Ah']:[['Qs']]:[2, 2],[0, 2]","[0.0, 1.0]"
"['Ah']:[]:[0, 4],[]","[1.0, 0.0]"
"['Ah']:[['Kh']]:[3, 3],[]","[1.0, 0.0]"
"['Qs']:[['Kh']]:[3, 3],[0]","[0.5, 0.5]"
"['Qs']:[['Kh']]:[3, 3],[1]","[0.0, 1.0]"
"['Ah']:[['Qh']]:[3, 3],[1]","[1.0, 0.0]"
"['Kh']:[['As']]:[0, 0],[0]","[0.0, 0.0, 1.0, 0.0]"
"['Kh']:[['As']]:[0, 0],[0, 2, 3]","[0.333, 0.333, 0.333]"
"['Kh']:[['As']]:[0, 0],[0, 2, 4]","[0.5, 0.5]"
"['Kh']:[['As']]:[0, 0],[2]","[0.2, 0.2, 0.2, 0.2, 0.2]"
"['Kh']:[['As']]:[0, 0],[3]","[0.2, 0.2, 0.2, 0.2, 0.2]"
"['Kh']:[['As']]:[0, 0],[4]","[0.5, 0.5]"
"['Kh']:[['Qh']]:[3, 3],[]","[0.0, 1.0]"
"['Kh']:[['Qh']]:[3, 3],[0, 1]","[0.0, 1.0]"
"['Ah']:[['Qh']]:[3, 3],[0]","[0.0, 1.0]"
"['Ah']:[['Qh']]:[0, 3, 3],[]","[1.0, 0.0]"
"['Kh']:[['Qh']]:[0, 3, 3],[0]","[0.5, 0.5]"
"['Kh']:[['Qh']]:[0, 3, 3],[1]","[0.5, 0.5]"
"['Ah']:[['Qh']]:[0, 3, 3],[0, 1]","[1.0, 0.0]"
"['Kh']:[['As']]:[0, 0],[]","[0.0, 0.0, 0.0, 1.0]"
"['Ah']:[['As']]:[0, 0],[0]","[0.25, 0.25, 0.25, 0.25]"
"['Kh']:[['As']]:[0, 0],[0, 2]","[0.0, 0.0, 0.0, 0.0, 1.0]"
"['Ah']:[['As']]:[0, 0],[0, 2, 3]","[0.333, 0.333, 0.333]"
"['Ah']:[['As']]:[0, 0],[0, 2, 4]","[0.5, 0.5]"
"['Ah']:[['As']]:[0, 0],[2]","[0.2, 0.2, 0.2, 0.2, 0.2]"
"['Kh']:[['As']]:[0, 0],[2, 4]","[0.0, 1.0]"
"['Ah']:[['As']]:[0, 0],[4]","[0.5, 0.5]"
"['Kh']:[['As']]:[3, 3],[]","[0.0, 1.0]"
"['Ah']:[['As']]:[3, 3],[0]","[0.5, 0.5]"
"['Kh']:[['As']]:[3, 3],[0, 1]","[0.0, 1.0]"
"['Ah']:[['As']]:[3, 3],[1]","[0.0, 1.0]"
"['Qh']:[['Ah']]:[0, 2, 2],[]","[0.0, 0.0, 1.0]"
"['Qh']:[['Ah']]:[0, 2, 2],[0, 1]","[0.0, 0.5, 0.5]"
"['As']:[['Ks']]:[3, 3],[]","[1.0, 0.0]"
"['As']:[['Ks']]:[3, 3],[0, 1]","[0.0, 1.0]"
"['As']:[['Qh']]:[3, 3],[0, 1]","[0.0, 1.0]"
"['Ks']:[['As']]:[0, 0],[0, 2]","[0.0, 0.0, 0.0, 0.0, 1.0]"
"['Ks']:[['Qh']]:[0, 3, 3],[]","[0.0, 1.0]"
"['As']:[['Qh']]:[0, 3, 3],[0]","[0.5, 0.5]"
"['As']:[['Qh']]:[0, 3, 3],[1]","[0.5, 0.5]"
"['Ks']:[['Qh']]:[2, 3, 1],[]","[0.0, 1.0]"
"['As']:[['Qh']]:[2, 3, 1],[0]","[0.0, 1.0]"
"['As']:[['Qh']]:[2, 3, 1],[1]","[0.0, 1.0]"
"['Qs']:[['Ah']]:[0, 0],[3]","[0.097, 0.0, 0.0, 0.0, 0.903]"
"['Ks']:[['Ah']]:[0, 0],[3, 4]","[1.0, 0.0]"
"['Qs']:[['Ah']]:[0, 2, 2],[2]","[0.333, 0.667]"
"['As']:[['Kh']]:[0, 3, 3],[]","[0.0, 1.0]"
"['Ah']:[['Kh']]:[0, 3, 3],[0]","[0.5, 0.5]"
"['As']:[['Kh']]:[0, 3, 3],[0, 1]","[0.0, 1.0]"
"['Ah']:[['Kh']]:[0, 3, 3],[1]","[0.5, 0.5]"
"['As']:[['Kh']]:[3, 3],[0, 1]","[0.0, 1.0]"
"['Ah']:[['Qs']]:[3, 3],[]","[0.0, 1.0]"
"['Ks']:[['Qs']]:[3, 3],[0]","[0.5, 0.5]"
"['Ah']:[['Qs']]:[3, 3],[0, 1]","[0.0, 1.0]"
"['Ks']:[['Qs']]:[3, 3],[1]","[1.0, 0.0]"
"['Qh']:[['Ah']]:[0, 0],[0]","[0.5, 0.5, 0.0, 0.0]"
"['Ks']:[['Ah']]:[0, 0],[0, 2]","[0.0, 0.0, 0.0, 0.0, 1.0]"
"['Qh']:[['Ah']]:[0, 0],[0, 2, 3]","[0.0, 0.0, 1.0]"
"['Ks']:[['Ah']]:[0, 0],[0, 2, 3, 2]","[1.0, 0.0]"
"['Ks']:[['Ah']]:[0, 0],[0, 3]","[0.618, 0.0, 0.0, 0.0, 0.382]"
"['Ks']:[['Ah']]:[0, 0],[0, 4]","[1.0, 0.0]"
"['Qh']:[['Ah']]:[0, 2, 2],[0]","[0.0, 0.0, 1.0]"
"['Qh']:[['Ah']]:[0, 2, 2],[0, 1, 2]","[1.0, 0.0]"
"['As']:[['Qs']]:[2, 3, 1],[]","[0.0, 1.0]"
"['Ah']:[['Qs']]:[2, 3, 1],[0]","[0.0, 1.0]"
"['As']:[['Qs']]:[2, 3, 1],[0, 1]","[0.0, 1.0]"
"['Qh']:[['Ks']]:[0, 0],[]","[0.235, 0.375, 0.0, 0.391]"
"['Ah']:[['Ks']]:[0, 0],[0]","[0.25, 0.25, 0.25, 0.25]"
"['Qh']:[['Ks']]:[0, 0],[0, 3]","[0.0, 0.0, 0.0, 0.0, 1.0]"
"['Ah']:[['Ks']]:[0, 0],[0, 3, 4]","[0.5, 0.5]"
"['Ah']:[['Ks']]:[0, 0],[2]","[0.2, 0.2, 0.2, 0.2, 0.2]"
"['Qh']:[['Ks']]:[0, 0],[2, 4]","[0.0, 1.0]"
"['Ah']:[['Ks']]:[0, 0],[3]","[0.2, 0.2, 0.2, 0.2, 0.2]"
"['Qh']:[['Ks']]:[0, 0],[3, 4]","[0.0, 1.0]"
"['Ah']:[['Ks']]:[0, 0],[4]","[0.5, 0.5]"
"['Qs']:[['Kh']]:[2, 2],[2]","[1.0, 0.0]"
"['Qs']:[['Kh']]:[2, 2],[1]","[0.0, 0.0, 1.0]"
"['As']:[['Kh']]:[2, 2],[1, 2]","[0.0, 1.0]"
"['Qs']:[['Kh']]:[2, 2],[]","[0.0, 1.0, 0.0]"
"['Ah']:[['Ks']]:[2, 2],[]","[0.0, 0.0, 1.0]"
"['As']:[['Qh']]:[0, 0],[]","[0.0, 0.459, 0.541, 0.0]"
"['Qs']:[['Qh']]:[0, 0],[0]","[0.25, 0.25, 0.25, 0.25]"
"['As']:[['Qh']]:[0, 0],[0, 4]","[0.0, 1.0]"
"['Qs']:[['Qh']]:[0, 0],[2]","[0.0, 0.053, 0.053, 0.316, 0.579]"
"['Qs']:[['Qh']]:[0, 0],[3]","[0.0, 0.289, 0.0, 0.289, 0.421]"
"['As']:[['Qh']]:[0, 0],[3, 4]","[0.0, 1.0]"
"['Qs']:[['Qh']]:[0, 0],[4]","[0.5, 0.5]"
"['Ks']:[['Kh']]:[2, 2],[]","[0.0, 0.0, 1.0]"
"['As']:[['Kh']]:[2, 2],[0]","[0.0, 0.0, 1.0]"
"['Ks']:[['Kh']]:[2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Ks']:[['Kh']]:[2, 2],[0, 2]","[1.0, 0.0]"
"['As']:[['Kh']]:[2, 2],[2]","[0.0, 1.0]"
"['Ks']:[['Kh']]:[2, 3, 1],[]","[0.0, 1.0]"
"['As']:[['Kh']]:[2, 3, 1],[1]","[0.0, 1.0]"
"['Ks']:[['Qh']]:[2, 2],[2]","[1.0, 0.0]"
"['Qs']:[['As']]:[0, 0],[0]","[0.25, 0.25, 0.25, 0.25]"
"['Qh']:[['As']]:[0, 0],[0, 4]","[0.0, 1.0]"
"['Qs']:[['As']]:[0, 0],[2]","[0.2, 0.2, 0.2, 0.2, 0.2]"
"['Qs']:[['As']]:[0, 0],[3]","[0.0, 0.0, 0.0, 0.0, 1.0]"
"['Qs']:[['As']]:[0, 0],[4]","[1.0, 0.0]"
"['Kh']:[['Ah']]:[0, 3, 3],[]","[0.0, 1.0]"
"['As']:[['Ah']]:[0, 3, 3],[1]","[0.5, 0.5]"
"['Kh']:[]:[2, 4],[]","[0.0, 1.0]"
"['Ah']:[['Qs']]:[0, 0],[]","[0.796, 0.204, 0.0, 0.0]"
"['Kh']:[['Qs']]:[0, 0],[0]","[0.25, 0.25, 0.25, 0.25]"
"['Ah']:[['Qs']]:[0, 0],[0, 4]","[1.0, 0.0]"
"['Kh']:[['Qs']]:[0, 0],[2]","[0.2, 0.2, 0.2, 0.2, 0.2]"
"['Ah']:[['Qs']]:[0, 0],[2, 3]","[0.0, 0.0, 1.0]"
"['Kh']:[['Qs']]:[0, 0],[2, 3, 2]","[0.5, 0.5]"
"['Kh']:[['Qs']]:[0, 0],[3]","[0.2, 0.2, 0.2, 0.2, 0.2]"
"['Kh']:[['Qs']]:[0, 0],[4]","[0.5, 0.5]"
"['Kh']:[['Qs']]:[3, 3],[0]","[0.5, 0.5]"
"['Kh']:[['Qs']]:[3, 3],[1]","[1.0, 0.0]"
"['Ah']:[['Qh']]:[0, 0],[2, 3]","[0.0, 0.0, 1.0]"
"['Ah']:[['Qh']]:[0, 0],[2, 4]","[0.0, 1.0]"
"['Ah']:[['Qh']]:[0, 2, 2],[]","[0.0, 0.2, 0.8]"
"['Ks']:[['Qh']]:[0, 2, 2],[1]","[1.0, 0.0, 0.0]"
"['Ah']:[['Qh']]:[0, 2, 2],[1, 2]","[0.0, 1.0]"
"['Ks']:[['Qh']]:[0, 3, 3],[0]","[0.0, 1.0]"
"['Ks']:[['Kh']]:[0, 2, 2],[0, 2]","[1.0, 0.0]"
"['Kh']:[['Qh']]:[3, 3],[0]","[0.0, 1.0]"
"['Kh']:[['Qh']]:[3, 3],[1]","[1.0, 0.0]"
"['Qh']:[['Qs']]:[0, 3, 3],[0, 1]","[1.0, 0.0]"
"['Qh']:[['Qs']]:[2, 2],[]","[0.771, 0.229, 0.0]"
"['Qh']:[['Qs']]:[2, 2],[1, 2]","[1.0, 0.0]"
"['Qh']:[['Qs']]:[3, 3],[]","[0.0, 1.0]"
"['As']:[['Qs']]:[3, 3],[0]","[0.5, 0.5]"
"['As']:[['Qs']]:[3, 3],[1]","[1.0, 0.0]"
"['As']:[['Kh']]:[3, 3],[1]","[0.0, 1.0]"
"['Qh']:[['Ah']]:[3, 3],[]","[0.0, 1.0]"
"['Ks']:[['Ah']]:[3, 3],[0]","[0.0, 1.0]"
"['Ks']:[['Ah']]:[3, 3],[1]","[0.0, 1.0]"
"['Ks']:[['Kh']]:[2, 2],[1, 2]","[1.0, 0.0]"
"['Qs']:[['Kh']]:[2, 2],[0]","[0.0, 0.0, 1.0]"
"['Qs']:[['Kh']]:[2, 2],[0, 1, 2]","[1.0, 0.0]"
"['Qs']:[['Kh']]:[2, 3, 1],[1]","[1.0, 0.0]"
"['Ah']:[['Ks']]:[0, 3, 3],[]","[0.0, 1.0]"
"['Ah']:[['Ks']]:[0, 3, 3],[0, 1]","[0.0, 1.0]"
"['Ah']:[['Ks']]:[2, 3, 1],[]","[0.0, 1.0]"
"['Qh']:[['Ks']]:[2, 3, 1],[0]","[0.5, 0.5]"
"['Ah']:[['Ks']]:[2, 3, 1],[0, 1]","[1.0, 0.0]"
"['Qh']:[['Ks']]:[2, 3, 1],[1]","[1.0, 0.0]"
"['Qh']:[]:[2, 3, 2],[]","[0.0, 1.0]"
"['Ah']:[['Ks']]:[3, 3],[]","[1.0, 0.0]"
"['Ah']:[['Ks']]:[3, 3],[0, 1]","[0.0, 1.0]"
"['Ah']:[['Kh']]:[2, 2],[]","[0.0, 0.0, 1.0]"
"['Ah']:[['Kh']]:[2, 2],[1, 2]","[0.0, 1.0]"
"['Ah']:[['Kh']]:[2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Ah']:[['Kh']]:[2, 2],[0, 2]","[0.0, 1.0]"
"['As']:[['Ks']]:[0, 3, 3],[0]","[0.5, 0.5]"
"['As']:[['Ks']]:[0, 3, 3],[1]","[0.5, 0.5]"
"['Ah']:[['Ks']]:[2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['As']:[['Ks']]:[2, 2],[0, 1, 2]","[0.5, 0.5]"
"['Qh']:[['As']]:[0, 0],[0]","[0.25, 0.25, 0.25, 0.25]"
"['Kh']:[['As']]:[0, 0],[0, 4]","[1.0, 0.0]"
"['Qh']:[['As']]:[0, 0],[2]","[0.2, 0.2, 0.2, 0.2, 0.2]"
"['Kh']:[['As']]:[0, 0],[2, 3]","[0.0, 0.093, 0.907]"
"['Qh']:[['As']]:[0, 0],[2, 3, 2]","[0.5, 0.5]"
"['Qh']:[['As']]:[0, 0],[3]","[0.2, 0.2, 0.2, 0.2, 0.2]"
"['Qh']:[['As']]:[0, 0],[4]","[1.0, 0.0]"
"['As']:[['Ks']]:[2, 2],[]","[0.0, 0.0, 1.0]"
"['Qh']:[['Ks']]:[2, 2],[2]","[1.0, 0.0]"
"['Qh']:[['Ks']]:[2, 2],[0]","[0.184, 0.0, 0.816]"
"['As']:[['Ks']]:[2, 2],[0, 1]","[0.0, 0.5, 0.5]"
"['Qh']:[['Ks']]:[2, 2],[0, 1, 2]","[1.0, 0.0]"
"['As']:[['Ks']]:[2, 2],[0, 2]","[0.0, 1.0]"
"['Kh']:[['Qs']]:[0, 3, 3],[0]","[0.5, 0.5]"
"['Kh']:[['Qs']]:[0, 3, 3],[1]","[0.5, 0.5]"
"['Ks']:[['Qh']]:[2, 2],[]","[0.0, 0.0, 1.0]"
