"['Qs']:[]:[],[]","[0.0, 0.0, 1.0, 0.0]"
"['Ah']:[['Ks']]:[0, 2, 2],[]","[0.0, 1.0, 0.0]"
"['Ah']:[['Ks']]:[0, 2, 2],[0, 2]","[1.0, 0.0]"
"['Ah']:[['Ks']]:[0, 2, 3, 1],[]","[0.0, 1.0]"
"['Qh']:[['Ks']]:[0, 2, 3, 1],[0]","[0.5, 0.5]"
"['Qh']:[['Ks']]:[0, 2, 3, 1],[1]","[0.5, 0.5]"
"['Ah']:[['Ks']]:[2, 2],[0]","[0.0, 0.3, 0.7]"
"['Ah']:[['Ks']]:[2, 2],[2]","[0.0, 1.0]"
"['Ks']:[['Qs']]:[2, 2],[2]","[1.0, 0.0]"
"['Ah']:[['Kh']]:[0, 0],[0]","[0.25, 0.25, 0.25, 0.25]"
"['Qh']:[['Kh']]:[0, 0],[0, 2]","[0.0, 0.0, 0.0, 0.273, 0.727]"
"['Ah']:[['Kh']]:[0, 0],[0, 2, 3]","[0.333, 0.333, 0.333]"
"['Ah']:[['Kh']]:[0, 0],[0, 2, 4]","[0.5, 0.5]"
"['Ah']:[['Kh']]:[0, 0],[2]","[0.2, 0.2, 0.2, 0.2, 0.2]"
"['Ah']:[['Kh']]:[0, 0],[3]","[0.2, 0.2, 0.2, 0.2, 0.2]"
"['Ah']:[['Kh']]:[0, 0],[4]","[0.5, 0.5]"
"['Ah']:[['Ks']]:[2, 2],[1, 2]","[0.0, 1.0]"
"['Kh']:[['Ah']]:[0, 3, 3],[0]","[0.5, 0.5]"
"['Kh']:[['Ah']]:[0, 3, 3],[1]","[0.5, 0.5]"
"['Ks']:[['Ah']]:[3, 3],[]","[1.0, 0.0]"
"['Ks']:[['Ah']]:[3, 3],[0, 1]","[0.0, 1.0]"
"['Kh']:[['Qh']]:[0, 0],[0, 2, 3, 2]","[0.0, 1.0]"
"['Qs']:[['Ks']]:[2, 2],[0, 1, 2]","[1.0, 0.0]"
"['Qs']:[['Ah']]:[2, 2],[]","[0.0, 0.0, 1.0]"
"['Ks']:[['Ah']]:[2, 2],[0]","[0.333, 0.333, 0.333]"
"['Qs']:[['Ah']]:[2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Ks']:[['Ah']]:[2, 2],[0, 1, 2]","[0.5, 0.5]"
"['Ks']:[['Ah']]:[2, 2],[1]","[0.0, 0.0, 1.0]"
"['Ks']:[['Ah']]:[2, 2],[2]","[0.0, 1.0]"
"['Qs']:[['Qh']]:[0, 0],[0, 4]","[1.0, 0.0]"
"['Qs']:[['Qh']]:[0, 0],[2, 3]","[0.143, 0.0, 0.857]"
"['Kh']:[['Qh']]:[0, 0],[2, 3, 2]","[0.5, 0.5]"
"['As']:[['Ks']]:[0, 3, 3],[0, 1]","[0.0, 1.0]"
"['As']:[['Qh']]:[0, 0],[2, 3]","[0.0, 0.0, 1.0]"
"['Ah']:[['As']]:[0, 0],[]","[0.0, 0.0, 0.0, 1.0]"
"['Ah']:[['As']]:[0, 0],[2, 3]","[0.0, 0.0, 1.0]"
"['Ah']:[['As']]:[0, 0],[3, 4]","[1.0, 0.0]"
"['Qs']:[['Kh']]:[0, 2, 2],[]","[0.0, 0.0, 1.0]"
"['Qs']:[['Kh']]:[0, 2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Qh']:[['Kh']]:[0, 2, 2],[0, 1, 2]","[0.5, 0.5]"
"['Qs']:[['Kh']]:[0, 2, 2],[0, 2]","[0.0, 1.0]"
"['Qs']:[['Kh']]:[0, 2, 2],[1, 2]","[0.0, 1.0]"
"['Qh']:[['As']]:[2, 2],[]","[0.0, 0.0, 1.0]"
"['Qs']:[['As']]:[2, 2],[0]","[0.333, 0.333, 0.333]"
"['Ah']:[['Qh']]:[2, 3, 1],[0]","[0.0, 1.0]"
"['Qs']:[['As']]:[2, 2],[]","[0.0, 0.0, 1.0]"
"['Ks']:[['As']]:[2, 2],[0]","[0.333, 0.333, 0.333]"
"['Qs']:[['As']]:[2, 2],[0, 2]","[0.0, 1.0]"
"['Qs']:[['As']]:[2, 2],[1, 2]","[0.0, 1.0]"
"['Ks']:[['As']]:[2, 2],[2]","[0.0, 1.0]"
"['Qh']:[['Qs']]:[2, 2],[1]","[0.0, 0.0, 1.0]"
"['Qh']:[['Qs']]:[2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Kh']:[['Qs']]:[2, 3, 1],[0]","[1.0, 0.0]"
"['Qh']:[['Qs']]:[2, 3, 1],[0, 1]","[1.0, 0.0]"
"['As']:[['Ah']]:[2, 2],[1, 2]","[1.0, 0.0]"
"['Qh']:[['Ah']]:[2, 2],[2]","[1.0, 0.0]"
"['Ah']:[['Qs']]:[0, 0],[0]","[0.25, 0.25, 0.25, 0.25]"
"['Ah']:[['Qs']]:[0, 0],[0, 2, 3]","[0.333, 0.333, 0.333]"
"['Ks']:[['Qs']]:[0, 0],[0, 2, 3, 2]","[0.0, 1.0]"
"['Ah']:[['Qs']]:[0, 0],[0, 2, 4]","[0.5, 0.5]"
"['Ah']:[['Qs']]:[0, 0],[2]","[0.2, 0.2, 0.2, 0.2, 0.2]"
"['Ah']:[['Qs']]:[0, 0],[3]","[0.2, 0.2, 0.2, 0.2, 0.2]"
"['Ks']:[['Qs']]:[0, 0],[3, 4]","[0.0, 1.0]"
"['Qh']:[['As']]:[2, 2],[1, 2]","[0.0, 1.0]"
"['Qh']:[['As']]:[2, 3, 1],[]","[0.0, 1.0]"
"['Ks']:[['As']]:[2, 3, 1],[0]","[0.0, 1.0]"
"['Qh']:[['As']]:[2, 3, 1],[0, 1]","[0.0, 1.0]"
"['Kh']:[['Ks']]:[0, 0],[]","[0.0, 0.0, 0.0, 1.0]"
"['Kh']:[['Ks']]:[0, 0],[0, 3]","[0.444, 0.0, 0.0, 0.0, 0.556]"
"['Kh']:[['Ks']]:[3, 3],[0, 1]","[1.0, 0.0]"
"['Kh']:[['Ks']]:[0, 3, 3],[1]","[0.0, 1.0]"
"['Ks']:[['As']]:[0, 0],[0, 4]","[1.0, 0.0]"
"['Ks']:[['As']]:[2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Qs']:[['As']]:[2, 2],[0, 1, 2]","[0.5, 0.5]"
"['Qs']:[['Ah']]:[3, 3],[0]","[0.5, 0.5]"
"['Qs']:[['Ah']]:[3, 3],[1]","[0.0, 1.0]"
"['Ah']:[['Kh']]:[2, 2],[1]","[0.0, 0.0, 1.0]"
"['Ah']:[['Kh']]:[2, 2],[0]","[0.0, 0.0, 1.0]"
"['Qh']:[['Ks']]:[2, 2],[1, 2]","[0.0, 1.0]"
"['As']:[['Qh']]:[0, 0],[2, 4]","[0.0, 1.0]"
"['Ah']:[['Ks']]:[0, 2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Ah']:[['Ks']]:[0, 2, 2],[1, 2]","[1.0, 0.0]"
"['Qh']:[['Ks']]:[2, 2],[1]","[1.0, 0.0, 0.0]"
"['Ks']:[['Qs']]:[0, 0],[2, 3]","[0.0, 0.0, 1.0]"
"['Kh']:[['Ah']]:[3, 3],[]","[1.0, 0.0]"
"['Kh']:[['Ah']]:[3, 3],[0, 1]","[0.0, 1.0]"
"['Ah']:[['Ks']]:[2, 2],[0, 1, 2]","[0.0, 1.0]"
"['Qh']:[['Kh']]:[2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Ah']:[['Kh']]:[2, 2],[2]","[0.0, 1.0]"
"['Ks']:[['Qh']]:[2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Ks']:[['Qh']]:[2, 2],[0, 2]","[0.0, 1.0]"
"['Qh']:[['Qs']]:[0, 0],[]","[1.0, 0.0, 0.0, 0.0]"
"['Qh']:[['Qs']]:[0, 0],[0, 2]","[0.0, 0.0, 0.0, 1.0, 0.0]"
"['Kh']:[['Qs']]:[0, 0],[0, 2, 3]","[0.333, 0.333, 0.333]"
"['Qh']:[['Qs']]:[0, 0],[0, 2, 3, 2]","[1.0, 0.0]"
"['Kh']:[['Qs']]:[0, 0],[0, 2, 4]","[0.5, 0.5]"
"['As']:[['Qh']]:[0, 3, 3],[]","[0.0, 1.0]"
"['As']:[['Qh']]:[0, 3, 3],[0, 1]","[0.0, 1.0]"
"['Kh']:[]:[2, 3],[]","[0.0, 1.0, 0.0]"
"['Kh']:[['Ks']]:[2, 3, 1],[]","[0.0, 1.0]"
"['Ah']:[['Ks']]:[2, 3, 1],[0]","[0.5, 0.5]"
"['Ah']:[['Ks']]:[2, 3, 1],[1]","[0.0, 1.0]"
"['Ah']:[['As']]:[2, 2],[0]","[0.333, 0.333, 0.333]"
"['Qs']:[['As']]:[2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Ah']:[['As']]:[2, 2],[0, 1, 2]","[0.5, 0.5]"
"['Qs']:[['Ah']]:[0, 3, 3],[]","[0.0, 1.0]"
"['Qs']:[['Ah']]:[0, 3, 3],[0, 1]","[0.0, 1.0]"
"['Kh']:[['As']]:[0, 2, 2],[]","[0.0, 0.0, 1.0]"
"['Ah']:[['As']]:[0, 2, 2],[0]","[0.333, 0.333, 0.333]"
"['Kh']:[['As']]:[0, 2, 2],[0, 2]","[0.0, 1.0]"
"['Ah']:[['As']]:[0, 2, 2],[1]","[0.333, 0.333, 0.333]"
"['Ah']:[['As']]:[0, 2, 2],[2]","[0.5, 0.5]"
"['Kh']:[['As']]:[0, 2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Ah']:[['As']]:[0, 2, 2],[0, 1, 2]","[0.5, 0.5]"
"['Kh']:[['As']]:[2, 2],[]","[0.0, 0.0, 1.0]"
"['Kh']:[['As']]:[2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Kh']:[['As']]:[2, 2],[1, 2]","[0.0, 1.0]"
"['Qh']:[['Qs']]:[2, 2],[0]","[0.0, 0.0, 1.0]"
"['Qh']:[['Qs']]:[2, 2],[0, 1, 2]","[0.0, 1.0]"
"['Ah']:[['As']]:[0, 2, 3, 1],[]","[0.5, 0.5]"
"['Qh']:[['As']]:[0, 2, 3, 1],[1]","[1.0, 0.0]"
"['Qh']:[['Kh']]:[2, 2],[0]","[0.0, 0.0, 1.0]"
"['Qh']:[['Kh']]:[2, 2],[0, 1, 2]","[1.0, 0.0]"
"['Qh']:[['Kh']]:[2, 2],[1]","[1.0, 0.0, 0.0]"
"['Qh']:[['Kh']]:[2, 3, 1],[1]","[1.0, 0.0]"
"['Qs']:[['Kh']]:[0, 3, 3],[]","[0.678, 0.322]"
"['Qs']:[['Kh']]:[0, 3, 3],[0, 1]","[0.0, 1.0]"
"['Kh']:[['Qs']]:[2, 2],[0, 1, 2]","[1.0, 0.0]"
"['Ks']:[['As']]:[0, 0],[0, 3]","[0.0, 0.0, 0.0, 0.0, 1.0]"
"['Qs']:[['As']]:[0, 0],[0, 3, 4]","[0.5, 0.5]"
"['Kh']:[['Qh']]:[0, 0],[2, 4]","[0.0, 1.0]"
"['Kh']:[['Qh']]:[2, 2],[0, 2]","[0.0, 1.0]"
"['Kh']:[['Qh']]:[2, 2],[1, 2]","[0.0, 1.0]"
"['Qs']:[['As']]:[0, 2, 2],[]","[0.0, 0.0, 1.0]"
"['Qh']:[['As']]:[0, 2, 2],[0]","[0.333, 0.333, 0.333]"
"['Qs']:[['As']]:[0, 2, 2],[0, 2]","[0.0, 1.0]"
"['Qh']:[['As']]:[0, 2, 2],[1]","[0.333, 0.333, 0.333]"
"['Qh']:[['As']]:[0, 2, 2],[2]","[0.5, 0.5]"
"['Qs']:[['As']]:[0, 2, 2],[1, 2]","[0.0, 1.0]"
"['Ah']:[['Qh']]:[0, 0],[0]","[0.25, 0.25, 0.25, 0.25]"
"['Kh']:[['Qh']]:[0, 0],[0, 3]","[0.0, 0.0, 0.0, 0.0, 1.0]"
"['Ah']:[['Qh']]:[0, 0],[0, 3, 4]","[0.5, 0.5]"
"['Ah']:[['Qh']]:[0, 0],[2]","[0.2, 0.2, 0.2, 0.2, 0.2]"
"['Ah']:[['Qh']]:[0, 0],[3]","[0.2, 0.2, 0.2, 0.2, 0.2]"
"['Ah']:[['Qh']]:[0, 0],[4]","[0.5, 0.5]"
"['Qh']:[['Qs']]:[0, 0],[3, 4]","[1.0, 0.0]"
"['Kh']:[['Ah']]:[0, 0],[0, 2]","[0.236, 0.0, 0.0, 0.0, 0.764]"
"['Kh']:[['Ah']]:[0, 0],[0, 2, 3, 2]","[1.0, 0.0]"
"['Qh']:[['Ah']]:[0, 0],[0, 2, 4]","[0.5, 0.5]"
"['Qh']:[['Ah']]:[0, 0],[2]","[0.2, 0.2, 0.2, 0.2, 0.2]"
"['Kh']:[['Ah']]:[0, 0],[2, 4]","[1.0, 0.0]"
"['Qh']:[['Ah']]:[0, 0],[4]","[0.5, 0.5]"
"['Kh']:[['As']]:[2, 3, 1],[]","[0.0, 1.0]"
"['Kh']:[['Ks']]:[2, 2],[1]","[0.0, 0.5, 0.5]"
"['Qh']:[['Ah']]:[0, 0],[]","[1.0, 0.0, 0.0, 0.0]"
"['Qh']:[['Ah']]:[0, 0],[0, 3]","[0.0, 0.0, 0.0, 0.0, 1.0]"
"['Qs']:[['Ah']]:[0, 0],[0, 3, 4]","[0.5, 0.5]"
"['Qh']:[['Ah']]:[0, 0],[2, 4]","[0.0, 1.0]"
"['Qh']:[['Ah']]:[0, 0],[3, 4]","[0.0, 1.0]"
"['Qh']:[['Ah']]:[2, 2],[]","[0.0, 0.0, 1.0]"
"['Qh']:[['Ah']]:[2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Ah']:[['As']]:[0, 0],[0, 2]","[0.105, 0.0, 0.0, 0.79, 0.105]"
"['Ah']:[['As']]:[0, 0],[0, 3]","[0.539, 0.0, 0.0, 0.0, 0.461]"
"['Ah']:[['As']]:[0, 0],[0, 4]","[1.0, 0.0]"
"['As']:[['Kh']]:[2, 2],[0, 1, 2]","[1.0, 0.0]"
"['As']:[['Qs']]:[0, 0],[2]","[0.0, 0.333, 0.333, 0.0, 0.333]"
"['As']:[['Qs']]:[0, 0],[2, 3, 2]","[0.0, 1.0]"
"['Ah']:[['Qs']]:[0, 0],[2, 4]","[0.0, 1.0]"
"['Ah']:[['Qs']]:[0, 3, 3],[]","[0.0, 1.0]"
"['Kh']:[['Ks']]:[0, 2, 2],[0, 2]","[1.0, 0.0]"
"['Kh']:[['Ks']]:[2, 2],[]","[0.0, 0.0, 1.0]"
"['Ks']:[['Qs']]:[0, 0],[2, 4]","[0.0, 1.0]"
"['Qh']:[['Qs']]:[0, 0],[0]","[0.0, 1.0, 0.0, 0.0]"
"['Ah']:[['Qs']]:[0, 0],[0, 2]","[0.0, 0.0, 0.0, 1.0, 0.0]"
"['Qh']:[['Qs']]:[0, 0],[0, 2, 3]","[0.0, 0.5, 0.5]"
"['Ah']:[['Qs']]:[0, 0],[0, 2, 3, 2]","[0.0, 1.0]"
"['Ah']:[['Qs']]:[0, 0],[0, 3]","[0.2, 0.2, 0.2, 0.2, 0.2]"
"['Qh']:[['Qs']]:[0, 0],[0, 3, 4]","[0.0, 1.0]"
"['As']:[['Qs']]:[2, 2],[0, 2]","[0.0, 1.0]"
"['As']:[['Qs']]:[2, 2],[1, 2]","[0.0, 1.0]"
"['Ah']:[['Kh']]:[2, 2],[0, 1, 2]","[1.0, 0.0]"
"['Ks']:[['Qh']]:[2, 2],[0]","[1.0, 0.0, 0.0]"
"['Ks']:[['Qh']]:[2, 2],[1]","[0.333, 0.333, 0.333]"
"['Qh']:[['As']]:[0, 2, 2],[0, 1, 2]","[0.5, 0.5]"
"['Ah']:[['As']]:[2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Qh']:[['As']]:[2, 2],[0, 1, 2]","[0.5, 0.5]"
"['As']:[['Ks']]:[2, 2],[1, 2]","[0.0, 1.0]"
"['As']:[['Ks']]:[0, 0],[0, 2]","[0.0, 0.0, 0.0, 0.0, 1.0]"
"['Kh']:[['Ks']]:[0, 0],[0, 2, 3]","[0.333, 0.333, 0.333]"
"['Kh']:[['Ks']]:[0, 0],[0, 2, 4]","[0.5, 0.5]"
"['As']:[['Ks']]:[0, 0],[2, 4]","[0.0, 1.0]"
"['Kh']:[['Ks']]:[2, 2],[2]","[0.0, 1.0]"
"['Kh']:[['Qs']]:[0, 0],[]","[0.0, 0.0, 0.0, 1.0]"
"['Kh']:[['Qs']]:[0, 0],[0, 2]","[0.0, 0.0, 0.0, 1.0, 0.0]"
"['Kh']:[['Qs']]:[0, 0],[0, 2, 3, 2]","[0.0, 1.0]"
"['Qh']:[['Qs']]:[0, 0],[0, 2, 4]","[0.5, 0.5]"
"['Qh']:[['Qs']]:[0, 0],[2]","[0.2, 0.2, 0.2, 0.2, 0.2]"
"['Kh']:[['Qs']]:[0, 0],[2, 3]","[0.0, 0.0, 1.0]"
"['Qh']:[['Qs']]:[0, 0],[2, 3, 2]","[0.5, 0.5]"
"['Qh']:[['Qs']]:[0, 0],[3]","[0.2, 0.2, 0.2, 0.2, 0.2]"
"['Qh']:[['Qs']]:[0, 0],[4]","[0.5, 0.5]"
"['Kh']:[['Qs']]:[2, 2],[0, 2]","[0.0, 1.0]"
"['Kh']:[['Qs']]:[2, 2],[1, 2]","[0.0, 1.0]"
"['Ah']:[['Ks']]:[2, 2],[1]","[0.0, 0.5, 0.5]"
"['Ah']:[['Kh']]:[3, 3],[0, 1]","[0.0, 1.0]"
"['As']:[['Qs']]:[2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Ah']:[['Qs']]:[2, 2],[0, 1, 2]","[0.0, 1.0]"
"['Ks']:[['Qh']]:[3, 3],[0, 1]","[0.0, 1.0]"
"['Ah']:[['Qh']]:[0, 2, 2],[0]","[0.333, 0.333, 0.333]"
"['Ah']:[['Qh']]:[0, 2, 2],[0, 1, 2]","[0.5, 0.5]"
"['Ah']:[['Qh']]:[0, 2, 2],[1]","[0.333, 0.333, 0.333]"
"['Qs']:[['Qh']]:[0, 2, 2],[1, 2]","[1.0, 0.0]"
"['Ah']:[['Qh']]:[0, 2, 2],[2]","[0.5, 0.5]"
"['Qs']:[['Qh']]:[0, 2, 2],[0, 2]","[1.0, 0.0]"
"['Kh']:[['Qs']]:[0, 2, 2],[]","[0.844, 0.156, 0.0]"
"['Kh']:[['Qs']]:[0, 2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Kh']:[['Qs']]:[0, 2, 2],[1, 2]","[0.0, 1.0]"
"['Kh']:[['Qs']]:[2, 3, 1],[]","[0.0, 1.0]"
"['Ks']:[['Qs']]:[2, 3, 1],[0]","[0.0, 1.0]"
"['Kh']:[['Qs']]:[2, 3, 1],[0, 1]","[0.0, 1.0]"
"['Qs']:[['As']]:[0, 0],[0, 2, 3]","[0.333, 0.333, 0.333]"
"['Qs']:[['As']]:[0, 0],[0, 2, 4]","[0.5, 0.5]"
"['Qs']:[['As']]:[0, 0],[2, 3, 2]","[0.5, 0.5]"
"['Ah']:[['As']]:[2, 2],[0, 2]","[1.0, 0.0]"
"['Ks']:[['Kh']]:[0, 0],[0, 2]","[0.329, 0.0, 0.0, 0.0, 0.671]"
"['Ks']:[['Kh']]:[0, 0],[0, 2, 3, 2]","[1.0, 0.0]"
"['Ks']:[['Kh']]:[0, 0],[2, 3]","[0.0, 0.0, 1.0]"
"['Ah']:[['Kh']]:[0, 0],[2, 3, 2]","[0.5, 0.5]"
"['Kh']:[['Ah']]:[2, 2],[2]","[0.0, 1.0]"
"['Qs']:[['Ks']]:[0, 2, 2],[2]","[0.0, 1.0]"
"['Qh']:[['Ks']]:[0, 3, 3],[]","[0.613, 0.387]"
"['Qs']:[['Ks']]:[0, 3, 3],[1]","[0.0, 1.0]"
"['Qh']:[['Kh']]:[2, 2],[2]","[1.0, 0.0]"
"['Ks']:[['As']]:[0, 2, 2],[1, 2]","[0.0, 1.0]"
"['Kh']:[['Ah']]:[2, 2],[]","[0.0, 0.0, 1.0]"
"['Kh']:[['Ah']]:[2, 2],[1, 2]","[0.0, 1.0]"
"['Kh']:[['Ah']]:[2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['Kh']:[['Ah']]:[2, 2],[0, 2]","[1.0, 0.0]"
"['Kh']:[['Ah']]:[2, 3, 1],[]","[0.0, 1.0]"
"['Qs']:[['Ah']]:[2, 3, 1],[1]","[1.0, 0.0]"
"['Kh']:[['Qh']]:[0, 2, 2],[]","[0.0, 0.46, 0.54]"
"['Kh']:[['Qh']]:[0, 2, 2],[1, 2]","[0.0, 1.0]"
"['Kh']:[['Qh']]:[0, 2, 2],[0, 2]","[0.0, 1.0]"
"['As']:[['Qh']]:[3, 3],[0]","[0.5, 0.5]"
"['As']:[['Qh']]:[3, 3],[1]","[1.0, 0.0]"
"['Qh']:[['Qs']]:[2, 3, 1],[0]","[0.0, 1.0]"
"['Qh']:[['Kh']]:[3, 3],[1]","[0.0, 1.0]"
"['Ah']:[['Ks']]:[0, 2, 2],[0]","[0.333, 0.333, 0.333]"
"['Ah']:[['Ks']]:[0, 2, 2],[1]","[0.333, 0.333, 0.333]"
"['Ah']:[['Ks']]:[0, 2, 2],[2]","[0.5, 0.5]"
"['Qs']:[['Ks']]:[2, 2],[0, 2]","[0.0, 1.0]"
"['As']:[['Qh']]:[2, 2],[2]","[0.0, 1.0]"
"['Kh']:[['As']]:[0, 0],[0, 2, 3, 2]","[0.0, 1.0]"
"['Kh']:[['As']]:[0, 0],[3, 4]","[0.0, 1.0]"
"['Ks']:[['As']]:[2, 2],[0, 2]","[0.0, 1.0]"
"['Ah']:[['Qs']]:[0, 2, 2],[]","[0.0, 0.343, 0.657]"
"['Ah']:[['Qs']]:[0, 2, 2],[0, 1]","[0.0, 0.0, 1.0]"
"['As']:[['Qs']]:[0, 2, 2],[0, 1, 2]","[0.5, 0.5]"
"['As']:[['Qs']]:[0, 2, 2],[1]","[0.333, 0.333, 0.333]"
"['As']:[['Qs']]:[0, 2, 2],[2]","[0.5, 0.5]"
